epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,149.782,0.86084,1.56809,1.01565,0.99958,0.99971,0.995,0.84071,0.63481,0.67096,0.89275,0.00332504,0.00332504,0.00332504
2,295.942,0.6184,0.82878,0.89234,0.98431,0.98808,0.99482,0.84796,0.61834,0.4663,0.91042,0.0066364,0.0066364,0.0066364
3,445.654,0.59571,0.58243,0.89319,0.99356,0.99669,0.99463,0.86174,0.54227,0.40761,0.86997,0.00992576,0.00992576,0.00992576
4,590.931,0.53639,0.37782,0.87767,0.99979,0.99984,0.995,0.91809,0.389,0.25166,0.81678,0.009901,0.009901,0.009901
5,736.102,0.458,0.29735,0.85283,0.97648,0.96381,0.99339,0.85245,0.61968,0.33015,0.93014,0.009868,0.009868,0.009868
6,880.277,0.41587,0.26737,0.84136,0.99965,0.99984,0.995,0.96409,0.29514,0.1786,0.79185,0.009835,0.009835,0.009835
7,1023.87,0.39221,0.24999,0.8327,0.99983,0.99984,0.995,0.97294,0.26635,0.16982,0.78496,0.009802,0.009802,0.009802
8,1167.63,0.37246,0.23826,0.82888,0.99981,0.99984,0.995,0.9764,0.25706,0.16073,0.78533,0.009769,0.009769,0.009769
9,1310.94,0.35418,0.22775,0.8258,0.99984,0.99984,0.995,0.98351,0.23496,0.15019,0.78082,0.009736,0.009736,0.009736
10,1453.76,0.34557,0.21925,0.82305,0.99983,0.99984,0.995,0.98755,0.21184,0.14051,0.77653,0.009703,0.009703,0.009703
11,1596.76,0.33001,0.21163,0.81864,0.99991,0.99992,0.995,0.9889,0.21651,0.1394,0.77679,0.00967,0.00967,0.00967
12,1739.63,0.32218,0.20624,0.8163,0.99982,0.99984,0.995,0.99107,0.19972,0.12821,0.77358,0.009637,0.009637,0.009637
13,1883.6,0.31646,0.20204,0.81561,0.99983,0.99984,0.995,0.99338,0.17708,0.11757,0.77023,0.009604,0.009604,0.009604
14,2025.88,0.30679,0.19869,0.81271,0.99982,0.99984,0.995,0.99349,0.17895,0.12224,0.77048,0.009571,0.009571,0.009571
15,2169.41,0.30397,0.19539,0.81246,0.99983,0.99984,0.995,0.99371,0.17291,0.11642,0.76886,0.009538,0.009538,0.009538
16,2311.85,0.29941,0.19473,0.81168,0.99983,0.99984,0.995,0.99401,0.16528,0.11275,0.76918,0.009505,0.009505,0.009505
17,2455.54,0.2902,0.19158,0.81116,0.99991,0.99992,0.995,0.99452,0.15159,0.10916,0.76727,0.009472,0.009472,0.009472
18,2598.69,0.28773,0.18767,0.81019,0.99983,0.99984,0.995,0.99457,0.15544,0.10561,0.76715,0.009439,0.009439,0.009439
19,2742.23,0.2828,0.18355,0.80831,0.99983,0.99984,0.995,0.99484,0.14347,0.09934,0.76538,0.009406,0.009406,0.009406
20,2885.47,0.28272,0.18358,0.80848,0.99983,0.99984,0.995,0.99453,0.15461,0.10129,0.7679,0.009373,0.009373,0.009373
21,3028.1,0.27644,0.17986,0.80732,0.99983,0.99984,0.995,0.99493,0.13021,0.0935,0.76459,0.00934,0.00934,0.00934
22,3170.57,0.2737,0.17979,0.80705,0.99983,0.99984,0.995,0.99492,0.12943,0.09225,0.76427,0.009307,0.009307,0.009307
23,3313.73,0.27103,0.17721,0.80506,0.99983,0.99984,0.995,0.99491,0.12576,0.09003,0.76317,0.009274,0.009274,0.009274
24,3457.68,0.26571,0.17467,0.80533,0.99983,0.99984,0.995,0.99489,0.12855,0.08975,0.76369,0.009241,0.009241,0.009241
25,3600.67,0.26774,0.1758,0.80494,0.99983,0.99984,0.995,0.9949,0.11973,0.08751,0.76336,0.009208,0.009208,0.009208
26,3743.12,0.2641,0.1734,0.8051,0.99983,0.99984,0.995,0.99495,0.11635,0.08608,0.76271,0.009175,0.009175,0.009175
27,3885.55,0.26088,0.1724,0.80461,0.99983,0.99984,0.995,0.99493,0.11486,0.08488,0.76301,0.009142,0.009142,0.009142
28,4028.07,0.25769,0.16991,0.80446,0.99983,0.99984,0.995,0.99492,0.11258,0.0826,0.76269,0.009109,0.009109,0.009109
29,4170.62,0.25795,0.17016,0.80243,0.99983,0.99984,0.995,0.99492,0.11132,0.08211,0.76154,0.009076,0.009076,0.009076
30,4313.07,0.25422,0.16854,0.80218,0.99983,0.99984,0.995,0.99495,0.10855,0.08109,0.76159,0.009043,0.009043,0.009043
31,4456.21,0.2559,0.16921,0.80246,0.99983,0.99984,0.995,0.99493,0.10911,0.08092,0.76195,0.00901,0.00901,0.00901
32,4598.7,0.25548,0.16915,0.80386,0.99983,0.99984,0.995,0.99494,0.10753,0.08027,0.76307,0.008977,0.008977,0.008977
33,4741.74,0.25139,0.16783,0.8033,0.99983,0.99984,0.995,0.99495,0.10553,0.07939,0.76238,0.008944,0.008944,0.008944
